"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...104",9,80,120,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,4.23592443042262,259.445279910684,146.891147535552,2580,232.084016816295,251.146196286213,1,282.01561960917,-22.5703396984861,22.5703396984861,-8.33683086571922
"1...105",12,77.5,120,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,4.10355179197192,251.125799377099,146.891147535552,3480,224.729997654348,245.491082041479,1,276.030862994517,-24.9050636174174,24.9050636174174,-9.44882817391417
"1...106",15,75,120,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,3.97117915352121,242.873895823532,146.891147535552,4380,217.733474401648,241.175044466708,1,271.313226411571,-28.4393305880395,28.4393305880395,-11.0618603065816
"1...107",18,72.5,60,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,3.8388065150705,234.687565200601,148.178582433898,4260,220.216259011456,241.694994922826,1,259.14085321328,-24.4532880126788,24.4532880126788,-9.9035564179234
"1...108",21,70,60,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,3.70643387661979,226.564803458929,148.178582433898,4980,213.054618931699,238.776715449343,1,255.999416415906,-29.4346129569772,29.4346129569772,-12.1992521387565
"1...109",2,95,420,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,4.97657645613845,307.038589241651,145.97155117959,810,255.288484072266,273.630523252254,1,329.61460792248,-22.576018680829,22.576018680829,-7.09209308345272
"1...110",3,90,300,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,4.71465137949958,289.862229073899,146.118686596544,1185,243.713558362088,266.11751653756,1,317.618973724511,-27.7567446506121,27.7567446506121,-9.13830568674337
"1...111",5,85,240,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,4.45272630286072,272.985029386688,146.247430086379,1935,231.985526045334,256.631628551382,1,303.756344278132,-30.771314891444,30.771314891444,-10.6707499397562
"1...112",7,82.5,180,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,4.32176376454129,264.653763011395,146.462002569436,2445,230.630380351247,252.16709677577,1,290.891311834993,-26.2375488235975,26.2375488235975,-9.44569577215761
"1...113",9,80,120,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,4.19080122622185,256.39146470197,146.891147535552,2715,231.152429188822,250.178879396854,1,278.73105985707,-22.3395951551,22.3395951551,-8.34933837760189
"1...114",12,77.5,120,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,4.05983868790242,248.196193773657,146.891147535552,3660,223.847594861408,244.542627872845,1,272.804322914717,-24.6081291410594,24.6081291410594,-9.44648934226613
"1...115",15,75,120,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,3.92887614958299,240.066009541701,146.891147535552,4605,216.884498120368,240.238363209352,1,268.136856666278,-28.0708471245776,28.0708471245776,-11.0471030334921
"1...116",18,72.5,60,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,3.79791361126355,231.998971321344,148.178582433898,4530,218.795981891532,240.545286613086,1,256.587327719908,-24.5883563985633,24.5883563985633,-10.0651027041948
"1...117",21,70,60,195,"faible",287.076677829212,2.3489525614129,5.23850153277732,3.66695107294412,223.993138427833,148.178582433898,5295,211.681781321499,237.633449126603,1,253.471463556798,-29.4783251289655,29.4783251289655,-12.3478578334125
