"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1054",12,240,90,"elevee",312.947910877278,156.473955438639,3720,249.266231825198,1,342.939620528494
"1...1055",13,240,90,"elevee",312.947910877278,156.473955438639,4050,247.735805708667,1,341.031900417241
"1...1056",14,240,90,"elevee",312.947910877278,156.473955438639,4380,246.331735568258,1,339.256030907983
"1...1057",15,240,90,"elevee",312.947910877278,156.473955438639,4710,245.034511234767,1,337.594853280418
"1...1058",16,240,90,"elevee",312.947910877278,156.473955438639,5040,243.828839892,1,336.034367285696
"1...1059",17,240,90,"elevee",312.947910877278,156.473955438639,5370,242.702509580306,1,334.562998179914
"1...1060",2,270,90,"elevee",312.947910877278,156.473955438639,450,297.016367556667,1,385.855309465021
"1...1061",3,270,90,"elevee",312.947910877278,156.473955438639,810,280.145262865743,1,378.161199013036
"1...1062",4,270,90,"elevee",312.947910877278,156.473955438639,1170,271.671624265586,1,372.408965745801
"1...1063",5,270,90,"elevee",312.947910877278,156.473955438639,1530,266.065171685057,1,367.705596296254
"1...1064",6,270,90,"elevee",312.947910877278,156.473955438639,1890,261.878813441393,1,363.716375136439
"1...1065",7,270,90,"elevee",312.947910877278,156.473955438639,2250,258.536076506729,1,360.251329730336
"1...1066",8,270,90,"elevee",312.947910877278,156.473955438639,2610,255.751652645538,1,357.188358205309
"1...1067",9,270,90,"elevee",312.947910877278,156.473955438639,2970,253.364050862386,1,354.443732728712
"1...1068",10,270,90,"elevee",312.947910877278,156.473955438639,3330,251.273110033406,1,351.957435630958
"1...1069",11,270,90,"elevee",312.947910877278,156.473955438639,3690,249.412448723237,1,349.684959683985
"1...1070",12,270,90,"elevee",312.947910877278,156.473955438639,4050,247.735805708667,1,347.592385222485
"1...1071",13,270,90,"elevee",312.947910877278,156.473955438639,4410,246.209646937299,1,345.653269511324
"1...1072",14,270,90,"elevee",312.947910877278,156.473955438639,4770,244.808882095285,1,343.846600608321
"1...1073",15,270,90,"elevee",312.947910877278,156.473955438639,5130,243.514243891023,1,342.155406165298
"1...1074",2,300,90,"elevee",312.947910877278,156.473955438639,480,294.874917207978,1,389.295776851614
"1...1075",3,300,90,"elevee",312.947910877278,156.473955438639,870,278.407420413188,1,382.340216153732
"1...1076",4,300,90,"elevee",312.947910877278,156.473955438639,1260,270.083681203491,1,376.801284738175
"1...1077",5,300,90,"elevee",312.947910877278,156.473955438639,1650,264.549616024751,1,372.164083090883
"1...1078",6,300,90,"elevee",312.947910877278,156.473955438639,2040,260.403835064946,1,368.185867108319
"1...1079",7,300,90,"elevee",312.947910877278,156.473955438639,2430,257.086083339748,1,364.707916603827
"1...1080",8,300,90,"elevee",312.947910877278,156.473955438639,2820,254.318061422004,1,361.620948081016
"1...1081",9,300,90,"elevee",312.947910877278,156.473955438639,3210,251.9417346383,1,358.847149880467
"1...1082",10,300,90,"elevee",312.947910877278,156.473955438639,3600,249.858815338701,1,356.329454248871
"1...1083",11,300,90,"elevee",312.947910877278,156.473955438639,3990,248.004012454806,1,354.024899519359
"1...1084",12,300,90,"elevee",312.947910877278,156.473955438639,4380,246.331735568258,1,351.900398051895
"1...1085",13,300,90,"elevee",312.947910877278,156.473955438639,4770,244.808882095285,1,349.929957119391
"1...1086",14,300,90,"elevee",312.947910877278,156.473955438639,5160,243.410649561654,1,348.092802237693
"1...1087",2,30,105,"elevee",312.947910877278,156.473955438639,240,317.694598701003,1,334.206847530203
"1...1088",3,30,105,"elevee",312.947910877278,156.473955438639,375,303.595011110187,1,323.223775666637
"1...1089",4,30,105,"elevee",312.947910877278,156.473955438639,510,292.941481274883,1,313.439456046448
"1...1090",5,30,105,"elevee",312.947910877278,156.473955438639,645,286.066340264099,1,306.907660662895
"1...1091",6,30,105,"elevee",312.947910877278,156.473955438639,780,281.084237498266,1,302.058975936159
"1...1092",7,30,105,"elevee",312.947910877278,156.473955438639,915,277.210367982083,1,298.219694261409
"1...1093",8,30,105,"elevee",312.947910877278,156.473955438639,1050,274.054070149738,1,295.046756380397
"1...1094",9,30,105,"elevee",312.947910877278,156.473955438639,1185,271.396273277381,1,292.344233255356
"1...1095",10,30,105,"elevee",312.947910877278,156.473955438639,1320,269.103186133371,1,289.990603639511
"1...1096",11,30,105,"elevee",312.947910877278,156.473955438639,1455,267.087686431713,1,287.905667550651
"1...1097",12,30,105,"elevee",312.947910877278,156.473955438639,1590,265.29013646572,1,286.033872974021
"1...1098",13,30,105,"elevee",312.947910877278,156.473955438639,1725,263.668048843354,1,284.335223736546
"1...1099",14,30,105,"elevee",312.947910877278,156.473955438639,1860,262.190150324071,1,282.779999793451
"1...1100",15,30,105,"elevee",312.947910877278,156.473955438639,1995,260.832788788705,1,281.345530017898
"1...1101",16,30,105,"elevee",312.947910877278,156.473955438639,2130,259.57766180009,1,280.014133650095
"1...1102",17,30,105,"elevee",312.947910877278,156.473955438639,2265,258.410326952784,1,278.771759064902
"1...1103",18,30,105,"elevee",312.947910877278,156.473955438639,2400,257.319193769308,1,277.607055492718
"1...1104",19,30,105,"elevee",312.947910877278,156.473955438639,2535,256.294822691814,1,276.510722899751
"1...1105",20,30,105,"elevee",312.947910877278,156.473955438639,2670,255.329425916891,1,275.475045963203
"1...1106",2,60,105,"elevee",312.947910877278,156.473955438639,270,315.05558178705,1,342.222010365684
