"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...265",19,210,15,"sprinter",375.481359910061,187.740679955031,4065,222.214602417579,1,487.320416999358
"1...266",20,210,15,"sprinter",375.481359910061,187.740679955031,4290,220.025238835895,1,478.346422668195
"1...267",2,225,15,"sprinter",375.481359910061,187.740679955031,255,384.924665952598,1,1529.05220638856
"1...268",3,225,15,"sprinter",375.481359910061,187.740679955031,495,330.294784527938,1,1026.36985123893
"1...269",4,225,15,"sprinter",375.481359910061,187.740679955031,735,303.458525796799,1,871.31534716614
"1...270",5,225,15,"sprinter",375.481359910061,187.740679955031,975,287.215443962117,1,787.826916351342
"1...271",6,225,15,"sprinter",375.481359910061,187.740679955031,1215,275.733568659606,1,732.236842829611
"1...272",7,225,15,"sprinter",375.481359910061,187.740679955031,1455,266.901129336148,1,691.020819218556
"1...273",8,225,15,"sprinter",375.481359910061,187.740679955031,1695,259.740007557498,1,658.42926077619
"1...274",9,225,15,"sprinter",375.481359910061,187.740679955031,1935,253.723731234781,1,631.538021550569
"1...275",10,225,15,"sprinter",375.481359910061,187.740679955031,2175,248.53857619845,1,608.674949863819
"1...276",11,225,15,"sprinter",375.481359910061,187.740679955031,2415,243.983327627848,1,588.801021241551
