"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"5738",12,180,195,"faible",350.281232790258,175.140616395129,4320,216.411175481222,238.824006817333
"5739",13,180,195,"faible",350.281232790258,175.140616395129,4695,213.80926479835,235.364166224488
"5740",14,180,195,"faible",350.281232790258,175.140616395129,5070,211.424678914108,232.145771550388
"5741",1,195,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5742",2,195,195,"faible",350.281232790258,175.140616395129,585,297.531284119525,325.927348630113
"5743",3,195,195,"faible",350.281232790258,175.140616395129,975,270.632653907816,301.956577532471
"5744",4,195,195,"faible",350.281232790258,175.140616395129,1365,256.2861173424,287.627354647098
"5745",5,195,195,"faible",350.281232790258,175.140616395129,1755,246.664998456902,277.2752662809
"5746",6,195,195,"faible",350.281232790258,175.140616395129,2145,239.462419409807,269.103204054627
"5747",7,195,195,"faible",350.281232790258,175.140616395129,2535,233.715215942938,262.313222372114
"5748",8,195,195,"faible",350.281232790258,175.140616395129,2925,228.935981873607,256.480455305276
"5749",9,195,195,"faible",350.281232790258,175.140616395129,3315,224.845719818056,251.351217372727
"5750",10,195,195,"faible",350.281232790258,175.140616395129,3705,221.270404244325,246.761573877575
"5751",11,195,195,"faible",350.281232790258,175.140616395129,4095,218.094393908462,242.59927558669
"5752",12,195,195,"faible",350.281232790258,175.140616395129,4485,215.237022344073,238.78398690184
"5753",13,195,195,"faible",350.281232790258,175.140616395129,4875,212.639818558377,235.256168775496
"5754",14,195,195,"faible",350.281232790258,175.140616395129,5265,210.259061889974,231.970428822453
"5755",1,210,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5756",2,210,195,"faible",350.281232790258,175.140616395129,600,295.997260964465,326.060806474602
"5757",3,210,195,"faible",350.281232790258,175.140616395129,1005,269.254348378076,302.323982236478
"5758",4,210,195,"faible",350.281232790258,175.140616395129,1410,254.999734659714,288.038426475394
"5759",5,210,195,"faible",350.281232790258,175.140616395129,1815,245.432242309279,277.663529308621
"5760",6,210,195,"faible",350.281232790258,175.140616395129,2220,238.26343186362,269.441799701171
"5761",7,210,195,"faible",350.281232790258,175.140616395129,2625,232.538883935474,262.590328902895
"5762",8,210,195,"faible",350.281232790258,175.140616395129,3030,227.775608126077,256.690748950409
"5763",9,210,195,"faible",350.281232790258,175.140616395129,3435,223.697019388703,251.49243007709
