"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...285",4,180,30,"pursuiter",416.548283671423,208.274141835712,660,0,809.602103070546
"1...286",5,180,30,"pursuiter",416.548283671423,208.274141835712,870,0,787.046328470458
"1...287",6,180,30,"pursuiter",416.548283671423,208.274141835712,1080,0,775.412695124587
"1...288",7,180,30,"pursuiter",416.548283671423,208.274141835712,1290,0,769.213539336289
"1...289",8,180,30,"pursuiter",416.548283671423,208.274141835712,1500,0,765.852780394489
"1...290",9,180,30,"pursuiter",416.548283671423,208.274141835712,1710,0,764.013764727423
"1...291",10,180,30,"pursuiter",416.548283671423,208.274141835712,1920,0,763.002321968847
"1...292",11,180,30,"pursuiter",416.548283671423,208.274141835712,2130,0,762.444481420421
"1...293",12,180,30,"pursuiter",416.548283671423,208.274141835712,2340,0,762.136341919869
"1...294",13,180,30,"pursuiter",416.548283671423,208.274141835712,2550,0,761.965987336884
"1...295",14,180,30,"pursuiter",416.548283671423,208.274141835712,2760,0,761.871762733996
"1...296",15,180,30,"pursuiter",416.548283671423,208.274141835712,2970,0,761.819632742034
"1...297",16,180,30,"pursuiter",416.548283671423,208.274141835712,3180,0,761.790787550302
"1...298",17,180,30,"pursuiter",416.548283671423,208.274141835712,3390,0,761.774825313644
"1...299",18,180,30,"pursuiter",416.548283671423,208.274141835712,3600,0,761.76599180627
"1...300",19,180,30,"pursuiter",416.548283671423,208.274141835712,3810,0,761.761103221115
"1...301",20,180,30,"pursuiter",416.548283671423,208.274141835712,4020,0,761.758397774009
"1...302",2,210,30,"pursuiter",416.548283671423,208.274141835712,270,0,990.219722754981
"1...303",3,210,30,"pursuiter",416.548283671423,208.274141835712,510,0,890.331374573507
"1...304",4,210,30,"pursuiter",416.548283671423,208.274141835712,750,0,850.487737459797
"1...305",5,210,30,"pursuiter",416.548283671423,208.274141835712,990,0,832.489291021364
"1...306",6,210,30,"pursuiter",416.548283671423,208.274141835712,1230,0,823.905282718749
"1...307",7,210,30,"pursuiter",416.548283671423,208.274141835712,1470,0,819.70545683884
"1...308",8,210,30,"pursuiter",416.548283671423,208.274141835712,1710,0,817.624988698529
"1...309",9,210,30,"pursuiter",416.548283671423,208.274141835712,1950,0,816.588052914128
"1...310",10,210,30,"pursuiter",416.548283671423,208.274141835712,2190,0,816.069650634883
"1...311",11,210,30,"pursuiter",416.548283671423,208.274141835712,2430,0,815.810087220868
