"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...298",17,180,30,"faible",350.281232790258,175.140616395129,3390,224.122364559975,1,377.09517445399
"1...299",18,180,30,"faible",350.281232790258,175.140616395129,3600,222.189663879627,1,373.029516558506
"1...300",19,180,30,"faible",350.281232790258,175.140616395129,3810,220.379899474402,1,369.221247380716
"1...301",20,180,30,"faible",350.281232790258,175.140616395129,4020,218.678296967251,1,365.639560469911
"1...302",2,210,30,"faible",350.281232790258,175.140616395129,270,356.537006399118,1,670.027482089676
"1...303",3,210,30,"faible",350.281232790258,175.140616395129,510,306.313995307431,1,565.829928143917
"1...304",4,210,30,"faible",350.281232790258,175.140616395129,750,283.477153502027,1,517.367272681019
"1...305",5,210,30,"faible",350.281232790258,175.140616395129,990,269.935855640355,1,488.380912875129
"1...306",6,210,30,"faible",350.281232790258,175.140616395129,1230,260.520023132248,1,468.12117030097
"1...307",7,210,30,"faible",350.281232790258,175.140616395129,1470,253.36788090192,1,452.67873461568
"1...308",8,210,30,"faible",350.281232790258,175.140616395129,1710,247.625481578997,1,440.249226027208
"1...309",9,210,30,"faible",350.281232790258,175.140616395129,1950,242.837967721212,1,429.867165394753
"1...310",10,210,30,"faible",350.281232790258,175.140616395129,2190,238.736997430221,1,420.960966792699
"1...311",11,210,30,"faible",350.281232790258,175.140616395129,2430,235.152050528157,1,413.166380447487
"1...312",12,210,30,"faible",350.281232790258,175.140616395129,2670,231.968473943146,1,406.237918759273
"1...313",13,210,30,"faible",350.281232790258,175.140616395129,2910,229.105684767284,1,400.002699689489
"1...314",14,210,30,"faible",350.281232790258,175.140616395129,3150,226.504989032047,1,394.334586520574
"1...315",15,210,30,"faible",350.281232790258,175.140616395129,3390,224.122364559975,1,389.138832667044
"1...316",16,210,30,"faible",350.281232790258,175.140616395129,3630,221.923975140779,1,384.342519442202
"1...317",17,210,30,"faible",350.281232790258,175.140616395129,3870,219.88326862388,1,379.888359762973
"1...318",18,210,30,"faible",350.281232790258,175.140616395129,4110,217.97903496054,1,375.730545349184
"1...319",19,210,30,"faible",350.281232790258,175.140616395129,4350,216.19406830429,1,371.831881807226
"1...320",20,210,30,"faible",350.281232790258,175.140616395129,4590,214.514221731236,1,368.161761972557
"1...321",2,240,30,"faible",350.281232790258,175.140616395129,300,350.281232790258,1,676.326466683872
"1...322",3,240,30,"faible",350.281232790258,175.140616395129,570,299.13196222542,1,566.482685407919
"1...323",4,240,30,"faible",350.281232790258,175.140616395129,840,277.713249796824,1,519.547973744936
