"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...232",16,72.5,60,30,"elevee",320,160,1380,280.388139080333,1,360.648161521248
"1...233",19,70,60,30,"elevee",320,160,1650,275.748389385236,1,354.175108828836
"1...234",1,95,420,45,"elevee",320,160,45,543.860667384306,1,543.860667384306
"1...235",2,90,300,45,"elevee",320,160,390,313.191987926211,1,485.804220800361
"1...236",4,85,240,45,"elevee",320,160,900,291.48483348601,1,443.841942169345
"1...237",6,82.5,180,45,"elevee",320,160,1170,284.673303994055,1,410.297775487007
"1...238",8,80,120,45,"elevee",320,160,1200,284.012024353201,1,380.67808798522
"1...239",10,77.5,120,45,"elevee",320,160,1530,277.708911292851,1,372.033590500754
"1...240",13,75,120,45,"elevee",320,160,2025,270.432996793278,1,361.815371424317
"1...241",16,72.5,60,45,"elevee",320,160,1620,276.224411717706,1,333.698329723043
"1...242",19,70,60,45,"elevee",320,160,1935,271.613061724352,1,327.942459398038
"1...243",1,95,420,60,"elevee",320,160,60,509.914007488792,1,509.914007488792
"1...244",2,90,300,60,"elevee",320,160,420,311.268945042516,1,442.625615677941
"1...245",4,85,240,60,"elevee",320,160,960,289.807621115155,1,411.299505463804
"1...246",6,82.5,180,60,"elevee",320,160,1260,282.748851176078,1,383.443087460276
"1...247",8,80,120,60,"elevee",320,160,1320,281.54233161081,1,358.378087873639
"1...248",10,77.5,120,60,"elevee",320,160,1680,275.28084719247,1,350.571963776189
"1...249",13,75,120,60,"elevee",320,160,2220,268.042351242529,1,341.268988685952
"1...250",16,72.5,60,60,"elevee",320,160,1860,272.639158162689,1,317.446845784727
"1...251",19,70,60,60,"elevee",320,160,2220,268.042351242529,1,312.024367960861
"1...252",1,95,420,75,"elevee",320,160,75,483.583764687578,1,483.583764687578
"1...253",2,90,300,75,"elevee",320,160,450,309.478929446644,1,416.654393635909
"1...254",4,85,240,75,"elevee",320,160,1020,288.234220758198,1,390.090177271417
"1...255",6,82.5,180,75,"elevee",320,160,1350,280.954988447877,1,365.456925907121
"1...256",8,80,120,75,"elevee",320,160,1440,279.282613785091,1,343.220452212332
"1...257",10,77.5,120,75,"elevee",320,160,1830,273.057861620493,1,335.881184653594
"1...258",13,75,120,75,"elevee",320,160,2415,265.858316381979,1,327.114064939858
"1...259",16,72.5,60,75,"elevee",320,160,2100,269.488983634775,1,306.159320260228
"1...260",19,70,60,75,"elevee",320,160,2505,264.907720766522,1,300.935672710795
"1...261",1,95,420,90,"elevee",320,160,90,462.069062676251,1,462.069062676251
"1...262",2,90,300,90,"elevee",320,160,480,307.80179043491,1,398.725075545741
"1...263",4,85,240,90,"elevee",320,160,1080,286.750586191244,1,374.767412132022
"1...264",6,82.5,180,90,"elevee",320,160,1440,279.282613785091,1,352.260596273674
"1...265",8,80,120,90,"elevee",320,160,1560,277.203925043939,1,331.994996875824
"1...266",10,77.5,120,90,"elevee",320,160,1980,271.011895485677,1,324.952145286512
"1...267",13,75,120,90,"elevee",320,160,2610,263.842709752648,1,316.530218753501
"1...268",16,72.5,60,90,"elevee",320,160,2340,266.679163868451,1,297.663472620238
"1...269",19,70,60,90,"elevee",320,160,2790,262.110703463502,1,292.570517231502
"1...270",1,95,420,105,"elevee",320,160,105,443.879460847471,1,443.879460847471
"1...271",2,90,300,105,"elevee",320,160,510,306.228259762716,1,385.345170483645
"1...272",4,85,240,105,"elevee",320,160,1140,285.347723519279,1,362.983520798496
"1...273",6,82.5,180,105,"elevee",320,160,1530,277.708911292851,1,341.998171777303
"1...274",8,80,120,105,"elevee",320,160,1680,275.28084719247,1,323.215022040023
"1...275",10,77.5,120,105,"elevee",320,160,2130,269.117923258309,1,316.376389206369
"1...276",13,75,120,105,"elevee",320,160,2805,261.970193877274,1,308.190656819587
"1...277",16,72.5,60,105,"elevee",320,160,2580,264.142586358712,1,290.925784044834
"1...278",19,70,60,105,"elevee",320,160,3075,259.588545199693,1,285.929555306244
"1...279",1,95,420,120,"elevee",320,160,120,428.122761708517,1,428.122761708517
"1...280",2,90,300,120,"elevee",320,160,540,304.744742548818,1,374.838234570578
"1...281",4,85,240,120,"elevee",320,160,1200,284.012024353201,1,353.523150150011
"1...282",6,82.5,180,120,"elevee",320,160,1620,276.224411717706,1,333.698329723043
"1...283",8,80,120,120,"elevee",320,160,1800,273.490736183885,1,316.079727764903
"1...284",10,77.5,120,120,"elevee",320,160,2280,267.353657370707,1,309.389860101056
