"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"7377",1,195,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7378",2,195,270,"moyenne",331.614571833768,165.807285916884,735,283.568941526044,303.886689695206
"7379",3,195,270,"moyenne",331.614571833768,165.807285916884,1200,266.33705680383,290.182801169012
"7380",4,195,270,"moyenne",331.614571833768,165.807285916884,1665,256.494285616805,281.320080887713
"7381",5,195,270,"moyenne",331.614571833768,165.807285916884,2130,249.643022331714,274.665628257441
"7382",6,195,270,"moyenne",331.614571833768,165.807285916884,2595,244.392251765611,269.300254429985
"7383",7,195,270,"moyenne",331.614571833768,165.807285916884,3060,240.134563869236,264.787942440752
"7384",8,195,270,"moyenne",331.614571833768,165.807285916884,3525,236.552461105414,260.885059197484
"7385",9,195,270,"moyenne",331.614571833768,165.807285916884,3990,233.459630870687,257.440728047195
"7386",10,195,270,"moyenne",331.614571833768,165.807285916884,4455,230.737539896691,254.354647607654
"7387",11,195,270,"moyenne",331.614571833768,165.807285916884,4920,228.306141645029,251.556575322365
"7388",12,195,270,"moyenne",331.614571833768,165.807285916884,5385,226.108845593907,248.995314676748
"7389",1,210,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7390",2,210,270,"moyenne",331.614571833768,165.807285916884,750,282.776866287912,304.408243307374
"7391",3,210,270,"moyenne",331.614571833768,165.807285916884,1230,265.558218164603,290.890111948391
"7392",4,210,270,"moyenne",331.614571833768,165.807285916884,1710,255.733072997989,282.078995534869
"7393",5,210,270,"moyenne",331.614571833768,165.807285916884,2190,248.892875498947,275.430238233901
"7394",6,210,270,"moyenne",331.614571833768,165.807285916884,2670,243.648949930019,270.051845865983
"7395",7,210,270,"moyenne",331.614571833768,165.807285916884,3150,239.39561263629,265.51815100187
"7396",8,210,270,"moyenne",331.614571833768,165.807285916884,3630,235.816346351592,261.590052344944
"7397",9,210,270,"moyenne",331.614571833768,165.807285916884,4110,232.725397751465,258.118849366868
"7398",10,210,270,"moyenne",331.614571833768,165.807285916884,4590,230.004564800468,255.005350038481
"7399",11,210,270,"moyenne",331.614571833768,165.807285916884,5070,227.57400504083,252.179897258171
"7400",1,225,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7401",2,225,270,"moyenne",331.614571833768,165.807285916884,765,282.008648011446,304.926139513117
"7402",3,225,270,"moyenne",331.614571833768,165.807285916884,1260,264.80463071992,291.585996242485
"7403",4,225,270,"moyenne",331.614571833768,165.807285916884,1755,254.996548798547,282.822293546789
"7404",5,225,270,"moyenne",331.614571833768,165.807285916884,2250,248.166839382216,276.176932991781
"7405",6,225,270,"moyenne",331.614571833768,165.807285916884,2745,242.92932242812,270.784205236889
"7406",7,225,270,"moyenne",331.614571833768,165.807285916884,3240,238.680018279239,266.228355785692
"7407",8,225,270,"moyenne",331.614571833768,165.807285916884,3735,235.103356472786,262.274591181547
"7408",9,225,270,"moyenne",331.614571833768,165.807285916884,4230,232.014117671516,258.7762637602
"7409",10,225,270,"moyenne",331.614571833768,165.807285916884,4725,229.294413652539,255.635218881933
"7410",11,225,270,"moyenne",331.614571833768,165.807285916884,5220,226.864594167269,252.782340826104
"7411",1,240,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7412",2,240,270,"moyenne",331.614571833768,165.807285916884,780,281.263010823851,305.44028481209
"7413",3,240,270,"moyenne",331.614571833768,165.807285916884,1290,264.07476666173,292.270724631683
"7414",4,240,270,"moyenne",331.614571833768,165.807285916884,1800,254.283183026765,283.550513335163
"7415",5,240,270,"moyenne",331.614571833768,165.807285916884,2310,247.4634156428,276.90642166002
