"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...286",5,180,30,"elevee",331.614571833768,165.807285916884,870,0,643.697209295764
"1...287",6,180,30,"elevee",331.614571833768,165.807285916884,1080,0,628.778005841649
"1...288",7,180,30,"elevee",331.614571833768,165.807285916884,1290,0,620.090956281806
"1...289",8,180,30,"elevee",331.614571833768,165.807285916884,1500,0,614.909752259121
"1...290",9,180,30,"elevee",331.614571833768,165.807285916884,1710,0,611.775162797361
"1...291",10,180,30,"elevee",331.614571833768,165.807285916884,1920,0,609.862378728226
"1...292",11,180,30,"elevee",331.614571833768,165.807285916884,2130,0,608.689030965745
"1...293",12,180,30,"elevee",331.614571833768,165.807285916884,2340,0,607.966956476915
"1...294",13,180,30,"elevee",331.614571833768,165.807285916884,2550,0,607.521715770969
"1...295",14,180,30,"elevee",331.614571833768,165.807285916884,2760,0,607.24684007823
"1...296",15,180,30,"elevee",331.614571833768,165.807285916884,2970,0,607.07701411683
"1...297",16,180,30,"elevee",331.614571833768,165.807285916884,3180,0,606.972042139694
"1...298",17,180,30,"elevee",331.614571833768,165.807285916884,3390,0,606.90713877039
"1...299",18,180,30,"elevee",331.614571833768,165.807285916884,3600,0,606.867002397309
"1...300",19,180,30,"elevee",331.614571833768,165.807285916884,3810,0,606.842179262104
"1...301",20,180,30,"elevee",331.614571833768,165.807285916884,4020,0,606.826825861033
"1...302",2,210,30,"elevee",331.614571833768,165.807285916884,270,0,856.436379705075
"1...303",3,210,30,"elevee",331.614571833768,165.807285916884,510,0,748.861307609333
"1...304",4,210,30,"elevee",331.614571833768,165.807285916884,750,0,702.784940036046
"1...305",5,210,30,"elevee",331.614571833768,165.807285916884,990,0,680.044323022434
"1...306",6,210,30,"elevee",331.614571833768,165.807285916884,1230,0,668.037765004226
"1...307",7,210,30,"elevee",331.614571833768,165.807285916884,1470,0,661.472473094115
"1...308",8,210,30,"elevee",331.614571833768,165.807285916884,1710,0,657.813616237854
"1...309",9,210,30,"elevee",331.614571833768,165.807285916884,1950,0,655.752898829364
"1...310",10,210,30,"elevee",331.614571833768,165.807285916884,2190,0,654.585374456462
"1...311",11,210,30,"elevee",331.614571833768,165.807285916884,2430,0,653.921676916475
"1...312",12,210,30,"elevee",331.614571833768,165.807285916884,2670,0,653.543668068194
"1...313",13,210,30,"elevee",331.614571833768,165.807285916884,2910,0,653.328139503925
"1...314",14,210,30,"elevee",331.614571833768,165.807285916884,3150,0,653.205175992513
"1...315",15,210,30,"elevee",331.614571833768,165.807285916884,3390,0,653.134998011333
"1...316",16,210,30,"elevee",331.614571833768,165.807285916884,3630,0,653.094937830179
"1...317",17,210,30,"elevee",331.614571833768,165.807285916884,3870,0,653.072067372809
"1...318",18,210,30,"elevee",331.614571833768,165.807285916884,4110,0,653.059009715104
"1...319",19,210,30,"elevee",331.614571833768,165.807285916884,4350,0,653.051554297498
"1...320",20,210,30,"elevee",331.614571833768,165.807285916884,4590,0,653.047297451323
"1...321",2,240,30,"elevee",331.614571833768,165.807285916884,300,0,874.520794966813
"1...322",3,240,30,"elevee",331.614571833768,165.807285916884,570,0,775.256948874868
"1...323",4,240,30,"elevee",331.614571833768,165.807285916884,840,0,734.510518279859
"1...324",5,240,30,"elevee",331.614571833768,165.807285916884,1110,0,715.441372277602
"1...325",6,240,30,"elevee",331.614571833768,165.807285916884,1380,0,705.972551834528
"1...326",7,240,30,"elevee",331.614571833768,165.807285916884,1650,0,701.132579011023
