"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...265",19,210,15,"all around",391.34815655162,195.67407827581,4065,259.154688114668,1,618.563980139329
"1...266",20,210,15,"all around",391.34815655162,195.67407827581,4290,257.196940889688,1,610.447057102593
"1...267",2,225,15,"all around",391.34815655162,195.67407827581,255,398.650858266037,1,1579.14213098623
"1...268",3,225,15,"all around",391.34815655162,195.67407827581,495,353.313608995143,1,1111.2899275078
"1...269",4,225,15,"all around",391.34815655162,195.67407827581,735,330.430156974839,1,970.016596371297
"1...270",5,225,15,"all around",391.34815655162,195.67407827581,975,316.429076758045,1,894.269367463352
"1...271",6,225,15,"all around",391.34815655162,195.67407827581,1215,306.454349143769,1,843.910792385718
"1...272",7,225,15,"all around",391.34815655162,195.67407827581,1455,298.736378992287,1,806.597081695468
"1...273",8,225,15,"all around",391.34815655162,195.67407827581,1695,292.450688191508,1,777.099073840501
"1...274",9,225,15,"all around",391.34815655162,195.67407827581,1935,287.151137085109,1,752.76271524667
"1...275",10,225,15,"all around",391.34815655162,195.67407827581,2175,282.57060775105,1,732.072209560171
"1...276",11,225,15,"all around",391.34815655162,195.67407827581,2415,278.537052748757,1,714.086444903387
"1...277",12,225,15,"all around",391.34815655162,195.67407827581,2655,274.933375197904,1,698.183564352553
"1...278",13,225,15,"all around",391.34815655162,195.67407827581,2895,271.676369010843,1,683.932362453967
"1...279",14,225,15,"all around",391.34815655162,195.67407827581,3135,268.704830925194,1,671.022122457466
"1...280",15,225,15,"all around",391.34815655162,195.67407827581,3375,265.97244918554,1,659.221828362055
"1...281",16,225,15,"all around",391.34815655162,195.67407827581,3615,263.443343159421,1,648.355199951173
"1...282",17,225,15,"all around",391.34815655162,195.67407827581,3855,261.089153109349,1,638.284746460291
"1...283",18,225,15,"all around",391.34815655162,195.67407827581,4095,258.887076983799,1,628.901208266739
"1...284",19,225,15,"all around",391.34815655162,195.67407827581,4335,256.818507681187,1,620.116348333313
"1...285",20,225,15,"all around",391.34815655162,195.67407827581,4575,254.868063433758,1,611.857898554055
"1...286",2,240,15,"all around",391.34815655162,195.67407827581,270,395.945195907104,1,1597.92150679811
"1...287",3,240,15,"all around",391.34815655162,195.67407827581,525,349.596019028179,1,1115.25294515412
"1...288",4,240,15,"all around",391.34815655162,195.67407827581,780,327.352332351524,1,974.26382983529
