"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...231",14,90,30,"moyenne",331.614571833768,165.807285916884,1590,257.822485532965,1,321.898759520279
"1...232",15,90,30,"moyenne",331.614571833768,165.807285916884,1710,255.733072997989,1,317.493276148302
"1...233",16,90,30,"moyenne",331.614571833768,165.807285916884,1830,253.819777826849,1,313.458046346955
"1...234",17,90,30,"moyenne",331.614571833768,165.807285916884,1950,252.055519175966,1,309.736261403323
"1...235",18,90,30,"moyenne",331.614571833768,165.807285916884,2070,250.418930179536,1,306.283078864336
"1...236",19,90,30,"moyenne",331.614571833768,165.807285916884,2190,248.892875498947,1,303.06252224294
"1...237",1,120,30,"moyenne",331.614571833768,165.807285916884,30,626.331143129083,1,626.331143129083
"1...238",2,120,30,"moyenne",331.614571833768,165.807285916884,180,356.789969283006,1,571.19984445763
"1...239",3,120,30,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,1,499.416229409647
"1...240",4,120,30,"moyenne",331.614571833768,165.807285916884,480,302.673062316431,1,448.379928143977
"1...241",5,120,30,"moyenne",331.614571833768,165.807285916884,630,289.913493224091,1,418.858081447442
"1...242",6,120,30,"moyenne",331.614571833768,165.807285916884,780,281.263010823851,1,398.786267584143
"1...243",7,120,30,"moyenne",331.614571833768,165.807285916884,930,274.825368753978,1,383.819956962429
"1...244",8,120,30,"moyenne",331.614571833768,165.807285916884,1080,269.741008395382,1,371.983028985796
"1...245",9,120,30,"moyenne",331.614571833768,165.807285916884,1230,265.558218164603,1,362.234503218686
"1...246",10,120,30,"moyenne",331.614571833768,165.807285916884,1380,262.014106032336,1,353.967430538387
"1...247",11,120,30,"moyenne",331.614571833768,165.807285916884,1530,258.943776510768,1,346.800553024785
"1...248",12,120,30,"moyenne",331.614571833768,165.807285916884,1680,256.237704390654,1,340.480328383969
"1...249",13,120,30,"moyenne",331.614571833768,165.807285916884,1830,253.819777826849,1,334.83038238453
"1...250",14,120,30,"moyenne",331.614571833768,165.807285916884,1980,251.635135325039,1,329.723471334194
"1...251",15,120,30,"moyenne",331.614571833768,165.807285916884,2130,249.643022331714,1,325.064997107622
"1...252",16,120,30,"moyenne",331.614571833768,165.807285916884,2280,247.812389183139,1,320.782838626933
"1...253",17,120,30,"moyenne",331.614571833768,165.807285916884,2430,246.119066933953,1,316.820822604401
"1...254",18,120,30,"moyenne",331.614571833768,165.807285916884,2580,244.54389242925,1,313.134385563889
"1...255",19,120,30,"moyenne",331.614571833768,165.807285916884,2730,243.071426392664,1,309.687605878717
"1...256",1,150,30,"moyenne",331.614571833768,165.807285916884,30,626.331143129083,1,626.331143129083
"1...257",2,150,30,"moyenne",331.614571833768,165.807285916884,210,347.766873790563,1,589.300020827511
"1...258",3,150,30,"moyenne",331.614571833768,165.807285916884,390,314.165032032959,1,506.8971561261
"1...259",4,150,30,"moyenne",331.614571833768,165.807285916884,570,294.352147156453,1,457.23906938819
"1...260",5,150,30,"moyenne",331.614571833768,165.807285916884,750,282.776866287912,1,428.069566632533
"1...261",6,150,30,"moyenne",331.614571833768,165.807285916884,930,274.825368753978,1,407.966894740229
"1...262",7,150,30,"moyenne",331.614571833768,165.807285916884,1110,268.842665520356,1,392.808405626847
"1...263",8,150,30,"moyenne",331.614571833768,165.807285916884,1290,264.07476666173,1,380.708610452883
"1...264",9,150,30,"moyenne",331.614571833768,165.807285916884,1470,260.122987313076,1,370.667775454705
"1...265",10,150,30,"moyenne",331.614571833768,165.807285916884,1650,256.75379557737,1,362.09905825514
"1...266",11,150,30,"moyenne",331.614571833768,165.807285916884,1830,253.819777826849,1,354.631389427779
"1...267",12,150,30,"moyenne",331.614571833768,165.807285916884,2010,251.222422232416,1,348.016442472109
"1...268",13,150,30,"moyenne",331.614571833768,165.807285916884,2190,248.892875498947,1,342.080443806983
"1...269",14,150,30,"moyenne",331.614571833768,165.807285916884,2370,246.781240012437,1,336.697329316672
"1...270",15,150,30,"moyenne",331.614571833768,165.807285916884,2550,244.850262081434,1,331.77289340594
"1...271",16,150,30,"moyenne",331.614571833768,165.807285916884,2730,243.071426392664,1,327.234969710388
"1...272",17,150,30,"moyenne",331.614571833768,165.807285916884,2910,241.422440248721,1,323.027099622514
"1...273",18,150,30,"moyenne",331.614571833768,165.807285916884,3090,239.885556811152,1,319.104308564735
"1...274",19,150,30,"moyenne",331.614571833768,165.807285916884,3270,238.446424309792,1,315.430204811852
"1...275",1,180,30,"moyenne",331.614571833768,165.807285916884,30,626.331143129083,1,626.331143129083
"1...276",2,180,30,"moyenne",331.614571833768,165.807285916884,240,341.027788669381,1,607.616958988585
